Rose Roché vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
1013,Sirfetch'd,0,42,8,8,4,5,1933
1014,Mr. Rime,18,-8,-12,50,22,10,3616
1015,Runerigus,-4,2,58,-10,27,-30,5113
1016,Milcery,-17,-53,-47,-10,-17,-26,6372
1017,Alcremie,3,-33,-12,50,43,4,5607
1018,Falinks,3,7,13,10,-18,15,876
1019,Pincurchin,-14,8,8,31,7,-45,3359
1020,Snom,-32,-68,-52,-15,-48,-40,12481
1021,Frosmoth,8,-28,-27,65,12,5,5971
1022,Stonjourner,38,32,48,-40,-58,10,9836
1023,Eiscue (Ice Face),13,-13,23,5,12,-10,1136
1024,Eiscue (Noice Face),13,-13,-17,5,-28,70,6336
1025,Indeedee (Male),-2,-28,-32,45,17,35,5351
1026,Indeedee (Female),8,-38,-22,35,27,25,4571
1027,Morpeko,-4,2,-29,10,-20,37,2730
1028,Cufant,10,-13,-38,-20,-29,-20,3354
1029,Copperajah,60,37,-18,20,-9,-30,6674
1030,Dracozolt,28,7,3,20,-8,15,1531
1031,Arctozolt,28,7,3,30,2,-5,1771
1032,Dracovish,28,-3,13,10,2,15,1291
1033,Arctovish,28,-3,13,20,12,-5,1531
1034,Duraludon,8,2,28,60,-28,25,5861
1035,Dreepy,-34,-33,-57,-20,-48,22,8682
1036,Drakloak,6,-13,-37,0,-28,42,4122
1037,Dragapult,26,27,-12,40,-3,82,9882
1038,Zacian (Hero of Many Battles),30,27,28,20,37,78,10266
1039,Zacian (Crowned Sword),30,57,28,20,37,88,14446
1040,Zamazenta (Hero of Many Battles),30,27,28,20,37,78,10266
1041,Zamazenta (Crowned Shield),30,27,53,20,62,68,13306
1042,Eternatus,78,-8,8,85,17,70,18626
1043,Eternatus (Eternamax Eternatus),193,22,163,65,172,70,103011
1044,Kubfu,-2,-3,-27,-7,-28,12,1719
1045,Urshifu,38,37,13,3,-18,37,4684
1046,Zarude,43,27,18,10,17,45,5316
1047,Regieleki,18,7,-37,40,-28,140,23726
1048,Regidrago,138,7,-37,40,-28,20,23246
1049,Glastrier,38,52,43,5,32,-30,7946
1050,Spectrier,38,-28,-27,85,2,70,15086
1051,Calyrex,38,-13,-7,20,2,20,2466
1052,Calyrex (Ice Rider Calyrex),38,72,63,25,52,-10,14026
1053,Calyrex (Shadow Rider Calyrex),38,-8,-7,105,22,90,21166
1054,Wyrdeer,41,12,-15,45,-3,5,4109
1055,Kleavor,8,42,8,-15,-8,25,2806
1056,Ursaluna,68,47,18,-15,2,-10,7486
1057,Basculegion (Male),58,19,-22,20,-3,18,4942
1058,Basculegion (Female),58,-1,-22,40,-3,18,5782
1059,Sneasler,18,37,-27,-20,2,60,6426
1060,Overqwil,23,22,8,5,-13,25,1896
1061,Enamorus (Incarnate Forme),12,22,-17,75,2,46,8662
1062,Enamorus (Therian Forme),12,22,23,75,22,-14,7462
1063,Sprigatito,-22,-32,-33,-15,-33,5,3936
1064,Floragato,-1,-13,-24,0,-15,23,1500
1065,Meowscarada,14,17,-17,21,-8,63,5248
1066,Fuecoco,5,-48,-28,3,-38,-24,5142
1067,Crocalor,19,-38,-9,30,-20,-11,3307
1068,Skeledirge,42,-18,13,50,-3,6,4802
1069,Quaxly,-7,-28,-42,-10,-33,-10,3886
1070,Quaxwell,8,-8,-22,5,-18,5,986
1071,Quaquaval,23,27,-7,25,-3,25,2566
1072,Lechonk,-8,-48,-47,-25,-33,-25,6916
1073,Oinkologne (Male),48,7,-12,-1,2,5,2527
1074,Oinkologne (Female),53,-3,-17,-1,12,5,3277
1075,Tarountula,-27,-52,-42,-31,-38,-40,9202
1076,Spidops,-2,-14,5,-8,8,-25,978
1077,Nymble,-29,-47,-47,-39,-53,-15,9814
1078,Lokix,9,9,-9,-8,-23,32,1860
1079,Pawmi,-17,-43,-67,-20,-53,0,9836
1080,Pawmo,-2,-18,-47,-10,-38,25,4706
1081,Pawmot,8,22,-17,10,-18,45,3286
1082,Tandemaus,-12,-43,-42,-20,-33,15,5471
1083,Maushold,12,-18,-17,5,-3,51,3392
1084,Fidough,-25,-38,-17,-30,-23,5,3812
1085,Dachsbun,-5,-13,28,-10,2,35,2307
1086,Smoliv,-21,-58,-42,-2,-27,-30,7202
1087,Dolliv,-10,-40,-27,18,0,-27,3482
1088,Arboliva,16,-24,3,65,31,-21,6468
1089,Squawkabilly,20,3,-36,-15,-27,32,3683
1090,Nacli,-7,-38,-12,-25,-43,-35,5336
1091,Naclstack,-2,-33,13,-25,-13,-25,2681
1092,Garganacl,38,7,43,-15,12,-25,4336
1093,Charcadet,-22,-43,-47,-10,-38,-25,6711
1094,Armarouge,23,-33,13,65,2,15,6241
1095,Ceruledge,13,32,-7,0,22,25,2351
1096,Tadbulb,-1,-62,-46,-1,-43,-15,8036
1097,Bellibolt,47,-29,4,43,5,-15,5165
1098,Wattrel,-22,-53,-52,-5,-38,10,7566
1099,Kilowattrel,8,-23,-27,45,-18,65,7896
1100,Maschiff,-2,-15,-27,-20,-27,-9,2168
1101,Mabosstiff,18,27,3,0,-8,25,1751
1102,Shroodle,-22,-28,-52,-20,-43,15,6446
1103,Grafaiai,1,2,-22,20,-6,50,3425
1104,Bramblin,-22,-28,-57,-15,-43,0,6591
1105,Brambleghast,-7,22,-17,20,-8,30,2186
1106,Toedscool,-22,-53,-52,-10,22,10,6681
1107,Toedscruel,18,-23,-22,20,42,40,5101
1108,Klawf,8,7,28,-25,-23,15,2276
1109,Capsakid,-12,-31,-47,2,-38,-10,4862
1110,Scovillain,3,15,-22,48,-13,15,3416
1111,Rellor,-21,-43,-27,-29,-20,-30,5160
1112,Rabsca,13,-43,-2,55,22,-15,5756
1113,Flittle,-32,-58,-57,-5,-48,15,10191
1114,Espathra,33,-33,-27,41,-18,45,6937
1115,Tinkatink,-12,-48,-42,-25,-14,-2,5037
1116,Tinkatuff,3,-38,-32,-15,4,18,3042
1117,Tinkaton,23,-18,-10,10,27,34,2938
1118,Wiglett,-52,-38,-62,-25,-53,35,12651
1119,Wugtrio,-27,7,-37,-10,-8,60,5911
1120,Bombirdier,8,10,-2,0,7,22,701
1121,Finizen,8,-48,-47,-15,-38,15,6471
1122,Palafin,38,-23,-15,-7,-16,40,4103
1123,Palafin,38,67,10,46,9,40,9830
1124,Varoom,-17,-23,-24,-30,-33,-13,3552
1125,Revavroom,18,26,3,-6,-11,30,2066
1126,Cyclizar,8,2,-22,25,-13,61,5067
1127,Orthworm,8,-8,58,0,-23,5,4046
1128,Glimmet,-14,-58,-45,45,-18,0,7934
1129,Glimmora,21,-38,3,70,3,26,7479
1130,Greavard,-12,-32,-27,-30,-23,-26,4002
1131,Houndstone,10,8,13,-10,19,8,858
1132,Flamigo,20,22,-13,15,-14,30,2374
1133,Cetoddle,46,-25,-42,-30,-38,-17,7138
1134,Cetitan,108,20,-22,-15,-23,13,13471
1135,Veluza,28,9,-14,18,-13,10,1654
1136,Dondozo,88,7,28,5,-13,-25,9396
1137,Tatsugiri,6,-43,-27,60,17,22,6987
1138,Annihilape,48,22,-7,-10,12,30,3981
1139,Clodsire,68,-18,-27,-15,22,-40,7986
1140,Farigiraf,58,-3,-17,50,-8,0,6226
1141,Dudunsparce,63,7,-7,25,-3,-5,4726
1142,Kingambit,38,42,33,0,7,-10,4446
1143,Great Tusk,53,38,44,-7,-25,27,7592
1144,Scream Tail,53,-28,12,5,37,51,7732
1145,Brute Bonnet,49,34,12,19,21,-5,4528
1146,Flutter Mane,-7,-38,-32,75,57,75,17016
1147,Slither Wing,23,42,-8,25,27,21,4152
1148,Sandy Shocks,23,-12,10,61,7,41,6224
1149,Iron Treads,28,19,33,12,-8,46,4558
1150,Iron Bundle,-6,-13,27,64,-18,76,11130
1151,Iron Hands,92,47,21,-10,-10,-10,11414
1152,Iron Jugulis,32,-13,-1,62,2,48,7346
1153,Iron Moth,18,-23,-27,80,32,50,11506
1154,Iron Thorns,38,41,23,10,6,12,3934
1155,Frigibax,3,-18,-42,-25,-33,-5,3836
1156,Arctibax,28,2,-21,-15,-13,2,1627
1157,Baxcalibur,53,52,5,15,8,27,6556
1158,Gimmighoul (Chest Form),-17,-63,-17,15,-8,-50,7336
1159,Gimmighoul (Roaming Form),-17,-63,-62,15,-33,20,9816
1160,Gholdengo,25,-33,8,73,13,24,7852
1161,Wo-Chien,23,-8,13,35,57,10,5336
1162,Chien-Pao,18,27,-7,30,-13,75,7796
1163,Ting-Lu,93,17,38,-5,2,-15,10636
1164,Chi-Yu,-7,-13,-7,75,42,40,9256
1165,Roaring Moon,43,46,-16,-5,23,59,8256
1166,Iron Valiant,12,37,3,60,-18,56,8582
1167,Koraidon,38,42,28,25,22,75,10726
1168,Miraidon,38,-8,13,75,37,75,14296
