Roman Ramirez vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
961,Scorbunny,-38,-45,-80,-72,-63,16,19278
962,Raboot,-23,-30,-60,-57,-43,41,11808
963,Cinderace,-8,0,-45,-47,-28,66,9438
964,Sobble,-38,-76,-80,-42,-63,17,19642
965,Drizzile,-23,-56,-65,-17,-48,37,11852
966,Inteleon,-18,-31,-55,13,-38,67,10412
967,Skwovet,-18,-61,-65,-77,-68,-28,19607
968,Greedent,32,-21,-25,-57,-28,-33,7212
969,Rookidee,-50,-69,-85,-79,-68,4,25367
970,Corvisquire,-20,-49,-65,-69,-48,24,14667
971,Corviknight,10,-29,-15,-59,-18,14,5167
972,Blipbug,-63,-96,-100,-87,-58,-8,34182
973,Dottler,-38,-81,-40,-62,-13,-23,14147
974,Orbeetle,-28,-71,-10,-32,17,37,8607
975,Nickit,-48,-88,-92,-65,-51,-3,25347
976,Thievul,-18,-58,-62,-25,-11,37,9647
977,Gossifleur,-48,-76,-60,-72,-43,-43,20562
978,Eldegoss,-28,-66,-30,-32,17,7,7402
979,Wooloo,-46,-76,-65,-72,-58,-5,20690
980,Dubwool,-16,-36,-20,-52,-13,35,6050
981,Chewtle,-38,-52,-70,-74,-65,-9,18830
982,Drednaw,2,-1,-30,-64,-35,21,6667
983,Yamper,-29,-71,-70,-72,-53,-27,19504
984,Boltund,-19,-26,-60,-22,-43,68,11594
985,Rolycoly,-58,-76,-70,-72,-53,-23,22562
986,Carkol,-8,-56,-30,-52,-33,-3,7902
987,Coalossal,22,-36,0,-32,-13,-23,3502
988,Applin,-48,-76,-40,-72,-63,-33,19922
989,Flapple,-18,-6,-40,-17,-43,17,4387
990,Appletun,22,-31,-40,-12,-23,-23,4247
991,Silicobra,-36,-59,-45,-77,-53,-7,15589
992,Sandaconda,-16,-9,5,-47,-33,18,3984
993,Cramorant,-18,-31,-65,-27,-8,32,7327
994,Arrokuda,-47,-53,-80,-72,-73,13,22100
995,Barraskewda,-27,7,-60,-52,-53,83,16780
996,Toxel,-48,-78,-85,-58,-68,-13,23770
997,Toxtricity,-13,-18,-50,2,-33,22,4570
998,Sizzlipede,-38,-51,-75,-62,-53,-8,16387
999,Centiskorch,12,-1,-55,-22,-13,12,3967
1000,Clobbopus,-38,-48,-60,-62,-53,-21,14442
1001,Grapploct,-8,2,-30,-42,-23,-11,3382
1002,Sinistea,-48,-71,-75,-38,-49,-3,16824
1003,Polteageist,-28,-51,-55,22,11,17,7304
1004,Hatenna,-46,-86,-75,-56,-50,-14,20969
1005,Hattrem,-31,-76,-55,-26,-30,-4,11354
1006,Hatterene,-31,-26,-25,24,0,-24,3414
1007,Impidimp,-43,-71,-90,-57,-63,-3,22217
1008,Morgrem,-23,-56,-75,-37,-48,17,13252
1009,Grimmsnarl,7,4,-55,-17,-28,7,4212
1010,Obstagoon,5,-26,-19,-52,-22,42,6014
1011,Perrserker,-18,-6,-20,-62,-43,-3,6462
1012,Cursola,-28,-21,-70,33,27,-23,8472
1013,Sirfetch'd,-26,19,-25,-44,-21,12,4183
1014,Mr. Rime,-8,-31,-45,-2,-3,17,3352
1015,Runerigus,-30,-21,25,-62,2,-23,6343
1016,Milcery,-43,-76,-80,-62,-42,-19,19994
1017,Alcremie,-23,-56,-45,-2,18,11,6139
1018,Falinks,-23,-16,-20,-42,-43,22,5282
1019,Pincurchin,-40,-15,-25,-21,-18,-38,4659
1020,Snom,-58,-91,-85,-67,-73,-33,29777
1021,Frosmoth,-18,-51,-60,13,-13,12,7007
1022,Stonjourner,12,9,15,-92,-83,17,16092
1023,Eiscue (Ice Face),-13,-36,-10,-47,-13,-3,3952
1024,Eiscue (Noice Face),-13,-36,-50,-47,-53,77,14912
1025,Indeedee (Male),-28,-51,-65,-7,-8,42,9487
1026,Indeedee (Female),-18,-61,-55,-17,2,32,8387
1027,Morpeko,-30,-21,-62,-42,-45,44,10910
1028,Cufant,-16,-36,-71,-72,-54,-13,14862
1029,Copperajah,34,14,-51,-32,-34,-23,6662
1030,Dracozolt,2,-16,-30,-32,-33,22,3757
1031,Arctozolt,2,-16,-30,-22,-23,2,2177
1032,Dracovish,2,-26,-20,-42,-23,22,3857
1033,Arctovish,2,-26,-20,-32,-13,2,2277
1034,Duraludon,-18,-21,-5,8,-53,32,4687
1035,Dreepy,-60,-56,-90,-72,-73,29,26190
1036,Drakloak,-20,-36,-70,-52,-53,49,14510
1037,Dragapult,0,4,-45,-12,-28,89,10890
1038,Zacian (Hero of Many Battles),4,4,-5,-32,12,85,8450
1039,Zacian (Crowned Sword),4,34,-5,-32,12,95,11390
1040,Zamazenta (Hero of Many Battles),4,4,-5,-32,12,85,8450
1041,Zamazenta (Crowned Shield),4,4,20,-32,37,75,8450
1042,Eternatus,52,-31,-25,33,-8,77,11372
1043,Eternatus (Eternamax Eternatus),167,-1,130,13,147,77,72497
1044,Kubfu,-28,-26,-60,-59,-53,19,11711
1045,Urshifu,12,14,-20,-49,-43,44,6926
1046,Zarude,17,4,-15,-42,-8,52,5062
1047,Regieleki,-8,-16,-70,-12,-53,147,29782
1048,Regidrago,112,-16,-70,-12,-53,27,21382
1049,Glastrier,12,29,10,-47,7,-23,3872
1050,Spectrier,12,-51,-60,33,-23,77,13892
1051,Calyrex,12,-36,-40,-32,-23,27,5322
1052,Calyrex (Ice Rider Calyrex),12,49,30,-27,27,-3,4912
1053,Calyrex (Shadow Rider Calyrex),12,-31,-40,53,-3,97,14932
1054,Wyrdeer,15,-11,-48,-7,-28,12,3627
1055,Kleavor,-18,19,-25,-67,-33,32,7912
1056,Ursaluna,42,24,-15,-67,-23,-3,7592
1057,Basculegion (Male),32,-4,-55,-32,-28,25,6498
1058,Basculegion (Female),32,-24,-55,-12,-28,25,6178
1059,Sneasler,-8,14,-60,-72,-23,67,14062
1060,Overqwil,-3,-1,-25,-47,-38,32,5312
1061,Enamorus (Incarnate Forme),-14,-1,-50,23,-23,53,6564
1062,Enamorus (Therian Forme),-14,-1,-10,23,-3,-7,884
1063,Sprigatito,-48,-55,-66,-67,-58,12,17682
1064,Floragato,-27,-36,-57,-52,-40,30,10478
1065,Meowscarada,-12,-6,-50,-31,-33,70,9630
1066,Fuecoco,-21,-71,-61,-49,-63,-17,15862
1067,Crocalor,-7,-61,-42,-22,-45,-4,8059
1068,Skeledirge,16,-41,-20,-2,-28,13,3294
1069,Quaxly,-33,-51,-75,-62,-58,-3,16532
1070,Quaxwell,-18,-31,-55,-47,-43,12,8512
1071,Quaquaval,-3,4,-40,-27,-28,32,4162
1072,Lechonk,-34,-71,-80,-77,-58,-18,22214
1073,Oinkologne (Male),22,-16,-45,-53,-23,12,6247
1074,Oinkologne (Female),27,-26,-50,-53,-13,12,7027
1075,Tarountula,-53,-75,-75,-83,-63,-33,26006
1076,Spidops,-28,-37,-28,-60,-17,-18,7150
1077,Nymble,-55,-70,-80,-91,-78,-8,28754
1078,Lokix,-17,-14,-42,-60,-48,39,9674
1079,Pawmi,-43,-66,-100,-72,-78,7,27522
1080,Pawmo,-28,-41,-80,-62,-63,32,17702
1081,Pawmot,-18,-1,-50,-42,-43,52,9142
1082,Tandemaus,-38,-66,-75,-72,-58,22,20457
1083,Maushold,-14,-41,-50,-47,-28,58,10734
1084,Fidough,-51,-61,-50,-82,-48,12,17994
1085,Dachsbun,-31,-36,-5,-62,-23,42,8419
1086,Smoliv,-47,-81,-75,-54,-52,-23,20544
1087,Dolliv,-36,-63,-60,-34,-25,-20,11046
1088,Arboliva,-10,-47,-30,13,6,-14,3610
1089,Squawkabilly,-6,-20,-69,-67,-52,39,13911
1090,Nacli,-33,-61,-45,-77,-68,-28,18172
1091,Naclstack,-28,-56,-20,-77,-38,-18,12017
1092,Garganacl,12,-16,10,-67,-13,-18,5482
1093,Charcadet,-48,-66,-80,-62,-63,-18,21197
1094,Armarouge,-3,-56,-20,13,-23,22,4727
1095,Ceruledge,-13,9,-40,-52,-3,32,5587
1096,Tadbulb,-27,-85,-79,-53,-68,-8,21692
1097,Bellibolt,21,-52,-29,-9,-20,-8,4531
1098,Wattrel,-48,-76,-85,-57,-63,17,22812
1099,Kilowattrel,-18,-46,-60,-7,-43,72,13122
1100,Maschiff,-28,-38,-60,-72,-52,-2,13720
1101,Mabosstiff,-8,4,-30,-52,-33,32,5797
1102,Shroodle,-48,-51,-85,-72,-68,22,22422
1103,Grafaiai,-25,-21,-55,-32,-31,57,9325
1104,Bramblin,-48,-51,-90,-67,-68,7,22167
1105,Brambleghast,-33,-1,-50,-32,-33,37,7072
1106,Toedscool,-48,-76,-85,-62,-3,17,19447
1107,Toedscruel,-8,-46,-55,-32,17,47,8727
1108,Klawf,-18,-16,-5,-77,-48,22,9322
1109,Capsakid,-38,-54,-80,-50,-63,-3,17238
1110,Scovillain,-23,-8,-55,-4,-38,22,5562
1111,Rellor,-47,-66,-60,-81,-45,-23,19280
1112,Rabsca,-13,-66,-35,3,-3,-8,5832
1113,Flittle,-58,-81,-90,-57,-73,22,27087
1114,Espathra,7,-56,-60,-11,-43,52,11459
1115,Tinkatink,-38,-71,-75,-77,-39,5,19585
1116,Tinkatuff,-23,-61,-65,-67,-21,25,14030
1117,Tinkaton,-3,-41,-43,-42,2,41,6988
1118,Wiglett,-78,-61,-95,-77,-78,42,32607
1119,Wugtrio,-53,-16,-70,-62,-33,67,17387
1120,Bombirdier,-18,-13,-35,-52,-18,29,5587
1121,Finizen,-18,-71,-80,-67,-63,22,20707
1122,Palafin,12,-46,-48,-59,-41,47,11935
1123,Palafin,12,44,-23,-6,-16,47,5110
1124,Varoom,-43,-46,-57,-82,-58,-6,17338
1125,Revavroom,-8,3,-30,-58,-36,37,7002
1126,Cyclizar,-18,-21,-55,-27,-38,68,10587
1127,Orthworm,-18,-31,25,-52,-48,12,7062
1128,Glimmet,-40,-81,-78,-7,-43,7,16192
1129,Glimmora,-5,-61,-30,18,-22,33,6543
1130,Greavard,-38,-55,-60,-82,-48,-19,17458
1131,Houndstone,-16,-15,-20,-62,-6,15,4986
1132,Flamigo,-6,-1,-46,-37,-39,37,6412
1133,Cetoddle,20,-48,-75,-82,-63,-10,19122
1134,Cetitan,82,-3,-55,-67,-48,20,16951
1135,Veluza,2,-14,-47,-34,-38,17,5298
1136,Dondozo,62,-16,-5,-47,-38,-18,8102
1137,Tatsugiri,-20,-66,-60,8,-8,29,9325
1138,Annihilape,22,-1,-40,-62,-13,37,7467
1139,Clodsire,42,-41,-60,-67,-3,-33,12632
1140,Farigiraf,32,-26,-50,-2,-33,7,5342
1141,Dudunsparce,37,-16,-40,-27,-28,2,4742
1142,Kingambit,12,19,0,-52,-18,-3,3542
1143,Great Tusk,27,15,11,-59,-50,34,8212
1144,Scream Tail,27,-51,-21,-47,12,58,9488
1145,Brute Bonnet,23,11,-21,-33,-4,2,2200
1146,Flutter Mane,-33,-61,-65,23,32,82,17312
1147,Slither Wing,-3,19,-41,-27,2,28,3568
1148,Sandy Shocks,-3,-35,-23,9,-18,48,4472
1149,Iron Treads,2,-4,0,-40,-33,53,5518
1150,Iron Bundle,-32,-36,-6,12,-43,83,11238
1151,Iron Hands,66,24,-12,-62,-35,-3,10154
1152,Iron Jugulis,6,-36,-34,10,-23,55,6142
1153,Iron Moth,-8,-46,-60,28,7,57,9862
1154,Iron Thorns,12,18,-10,-42,-19,19,3054
1155,Frigibax,-23,-41,-75,-77,-58,2,17132
1156,Arctibax,2,-21,-54,-67,-38,9,9375
1157,Baxcalibur,27,29,-28,-37,-17,34,5168
1158,Gimmighoul (Chest Form),-43,-86,-50,-37,-33,-43,16052
1159,Gimmighoul (Roaming Form),-43,-86,-95,-37,-58,27,23732
1160,Gholdengo,-1,-56,-25,21,-12,31,5308
1161,Wo-Chien,-3,-31,-20,-17,32,17,2972
1162,Chien-Pao,-8,4,-40,-22,-38,82,10332
1163,Ting-Lu,67,-6,5,-57,-23,-8,8392
1164,Chi-Yu,-33,-36,-40,23,17,47,7012
1165,Roaring Moon,17,23,-49,-57,-2,66,10828
1166,Iron Valiant,-14,14,-30,8,-43,63,7174
1167,Koraidon,12,19,-5,-27,-3,82,7992
1168,Miraidon,12,-31,-20,23,12,82,8902
