Gabe Silverstein vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
970,Corvisquire,-21,-34,-39,-62,-50,19,9823
971,Corviknight,9,-14,11,-52,-20,9,3583
972,Blipbug,-64,-81,-74,-80,-60,-13,26302
973,Dottler,-39,-66,-14,-55,-15,-28,10107
974,Orbeetle,-29,-56,16,-25,15,32,6107
975,Nickit,-49,-73,-66,-58,-53,-8,18323
976,Thievul,-19,-43,-36,-18,-13,32,5023
977,Gossifleur,-49,-61,-34,-65,-45,-48,15832
978,Eldegoss,-29,-51,-4,-25,15,2,4312
979,Wooloo,-47,-61,-39,-65,-60,-10,15376
980,Dubwool,-17,-21,6,-45,-15,30,3916
981,Chewtle,-39,-37,-44,-67,-67,-14,14000
982,Drednaw,1,14,-4,-57,-37,16,5087
983,Yamper,-30,-56,-44,-65,-55,-32,14246
984,Boltund,-20,-11,-34,-15,-45,63,7896
985,Rolycoly,-59,-61,-44,-65,-55,-28,17172
986,Carkol,-9,-41,-4,-45,-35,-8,5092
987,Coalossal,21,-21,26,-25,-15,-28,3192
988,Applin,-49,-61,-14,-65,-65,-38,16212
989,Flapple,-19,9,-14,-10,-45,12,2907
990,Appletun,21,-16,-14,-5,-25,-28,2327
991,Silicobra,-37,-44,-19,-70,-55,-12,11735
992,Sandaconda,-17,6,31,-40,-35,13,4280
993,Cramorant,-19,-16,-39,-20,-10,27,3367
994,Arrokuda,-48,-38,-54,-65,-75,8,16578
995,Barraskewda,-28,22,-34,-45,-55,78,13558
996,Toxel,-49,-63,-59,-51,-70,-18,17676
997,Toxtricity,-14,-3,-24,9,-35,17,2376
998,Sizzlipede,-39,-36,-49,-55,-55,-13,11437
999,Centiskorch,11,14,-29,-15,-15,7,1657
1000,Clobbopus,-39,-33,-34,-55,-55,-26,10492
1001,Grapploct,-9,17,-4,-35,-25,-16,2492
1002,Sinistea,-49,-56,-49,-31,-51,-8,11564
1003,Polteageist,-29,-36,-29,29,9,12,4044
1004,Hatenna,-47,-71,-49,-49,-52,-19,15117
1005,Hattrem,-32,-61,-29,-19,-32,-9,7052
1006,Hatterene,-32,-11,1,31,-2,-29,2952
1007,Impidimp,-44,-56,-64,-50,-65,-8,15957
1008,Morgrem,-24,-41,-49,-30,-50,12,8202
1009,Grimmsnarl,6,19,-29,-10,-30,2,2242
1010,Obstagoon,4,-11,7,-45,-24,37,4156
1011,Perrserker,-19,9,6,-55,-45,-8,5592
1012,Cursola,-29,-6,-44,40,25,-28,5822
1013,Sirfetch'd,-27,34,1,-37,-23,7,3833
1014,Mr. Rime,-9,-16,-19,5,-5,12,892
1015,Runerigus,-31,-6,51,-55,0,-28,7407
1016,Milcery,-44,-61,-54,-55,-44,-24,14110
1017,Alcremie,-24,-41,-19,5,16,6,2935
1018,Falinks,-24,-1,6,-35,-45,17,4152
1019,Pincurchin,-41,0,1,-14,-20,-43,4127
1020,Snom,-59,-76,-59,-60,-75,-38,23407
1021,Frosmoth,-19,-36,-34,20,-15,7,3487
1022,Stonjourner,11,24,41,-85,-85,12,16972
1023,Eiscue (Ice Face),-14,-21,16,-40,-15,-8,2782
1024,Eiscue (Noice Face),-14,-21,-24,-40,-55,72,11022
1025,Indeedee (Male),-29,-36,-39,0,-10,37,5127
1026,Indeedee (Female),-19,-46,-29,-10,0,27,4147
1027,Morpeko,-31,-6,-36,-35,-47,39,7248
1028,Cufant,-17,-21,-45,-65,-56,-18,10440
1029,Copperajah,33,29,-25,-25,-36,-28,5260
1030,Dracozolt,1,-1,-4,-25,-35,17,2157
1031,Arctozolt,1,-1,-4,-15,-25,-3,877
1032,Dracovish,1,-11,6,-35,-25,17,2297
1033,Arctovish,1,-11,6,-25,-15,-3,1017
1034,Duraludon,-19,-6,21,15,-55,27,4817
1035,Dreepy,-61,-41,-64,-65,-75,24,19924
1036,Drakloak,-21,-21,-44,-45,-55,44,9804
1037,Dragapult,-1,19,-19,-5,-30,84,8704
1038,Zacian (Hero of Many Battles),3,19,21,-25,10,80,7936
1039,Zacian (Crowned Sword),3,49,21,-25,10,90,11676
1040,Zamazenta (Hero of Many Battles),3,19,21,-25,10,80,7936
1041,Zamazenta (Crowned Shield),3,19,46,-25,35,70,9236
1042,Eternatus,51,-16,1,40,-10,72,9742
1043,Eternatus (Eternamax Eternatus),166,14,156,20,145,72,78697
1044,Kubfu,-29,-11,-34,-52,-55,14,8043
1045,Urshifu,11,29,6,-42,-45,39,6308
1046,Zarude,16,19,11,-35,-10,47,4272
1047,Regieleki,-9,-1,-44,-5,-55,142,25232
1048,Regidrago,111,-1,-44,-5,-55,22,17792
1049,Glastrier,11,44,36,-40,5,-28,5762
1050,Spectrier,11,-36,-34,40,-25,72,9982
1051,Calyrex,11,-21,-14,-25,-25,22,2492
1052,Calyrex (Ice Rider Calyrex),11,64,56,-20,25,-8,8442
1053,Calyrex (Shadow Rider Calyrex),11,-16,-14,60,-5,92,12662
1054,Wyrdeer,14,4,-22,0,-30,7,1645
1055,Kleavor,-19,34,1,-60,-35,27,7072
1056,Ursaluna,41,39,11,-60,-25,-8,7612
1057,Basculegion (Male),31,11,-29,-25,-30,20,3848
1058,Basculegion (Female),31,-9,-29,-5,-30,20,3208
1059,Sneasler,-9,29,-34,-65,-25,62,10772
1060,Overqwil,-4,14,1,-40,-40,27,4142
1061,Enamorus (Incarnate Forme),-15,14,-24,30,-25,48,4826
1062,Enamorus (Therian Forme),-15,14,16,30,-5,-12,1746
1063,Sprigatito,-49,-40,-40,-60,-60,7,12850
1064,Floragato,-28,-21,-31,-45,-42,25,6600
1065,Meowscarada,-13,9,-24,-24,-35,65,6852
1066,Fuecoco,-22,-56,-35,-42,-65,-22,11318
1067,Crocalor,-8,-46,-16,-15,-47,-9,4951
1068,Skeledirge,15,-26,6,5,-30,8,1926
1069,Quaxly,-34,-36,-49,-55,-60,-8,11542
1070,Quaxwell,-19,-16,-29,-40,-45,7,5132
1071,Quaquaval,-4,19,-14,-20,-30,27,2602
1072,Lechonk,-35,-56,-54,-70,-60,-23,16306
1073,Oinkologne (Male),21,-1,-19,-46,-25,7,3593
1074,Oinkologne (Female),26,-11,-24,-46,-15,7,3763
1075,Tarountula,-54,-60,-49,-76,-65,-38,20362
1076,Spidops,-29,-22,-2,-53,-19,-23,5028
1077,Nymble,-56,-55,-54,-84,-80,-13,22702
1078,Lokix,-18,1,-16,-53,-50,34,7046
1079,Pawmi,-44,-51,-74,-65,-80,2,20642
1080,Pawmo,-29,-26,-54,-55,-65,27,12412
1081,Pawmot,-19,14,-24,-35,-45,47,6592
1082,Tandemaus,-39,-51,-49,-65,-60,17,14637
1083,Maushold,-15,-26,-24,-40,-30,53,6786
1084,Fidough,-52,-46,-24,-75,-50,7,13570
1085,Dachsbun,-32,-21,21,-55,-25,37,6925
1086,Smoliv,-48,-66,-49,-47,-54,-28,14970
1087,Dolliv,-37,-48,-34,-27,-27,-25,6912
1088,Arboliva,-11,-32,-4,20,4,-19,1938
1089,Squawkabilly,-7,-5,-43,-60,-54,34,9595
1090,Nacli,-34,-46,-19,-70,-70,-33,14522
1091,Naclstack,-29,-41,6,-70,-40,-23,9587
1092,Garganacl,11,-1,36,-60,-15,-23,5772
1093,Charcadet,-49,-51,-54,-55,-65,-23,15697
1094,Armarouge,-4,-41,6,20,-25,17,3047
1095,Ceruledge,-14,24,-14,-45,-5,27,3747
1096,Tadbulb,-28,-70,-53,-46,-70,-13,15678
1097,Bellibolt,20,-37,-3,-2,-22,-13,2435
1098,Wattrel,-49,-61,-59,-50,-65,12,16472
1099,Kilowattrel,-19,-31,-34,0,-45,67,8992
1100,Maschiff,-29,-23,-34,-65,-54,-7,9716
1101,Mabosstiff,-9,19,-4,-45,-35,27,4437
1102,Shroodle,-49,-36,-59,-65,-70,17,16592
1103,Grafaiai,-26,-6,-29,-25,-33,52,5971
1104,Bramblin,-49,-36,-64,-60,-70,2,16297
1105,Brambleghast,-34,14,-24,-25,-35,32,4802
1106,Toedscool,-49,-61,-59,-55,-5,12,12797
1107,Toedscruel,-9,-31,-29,-25,15,42,4497
1108,Klawf,-19,-1,21,-70,-50,17,8492
1109,Capsakid,-39,-39,-54,-43,-65,-8,12096
1110,Scovillain,-24,7,-29,3,-40,17,3364
1111,Rellor,-48,-51,-34,-74,-47,-28,14530
1112,Rabsca,-14,-51,-9,10,-5,-13,3172
1113,Flittle,-59,-66,-64,-50,-75,17,20347
1114,Espathra,6,-41,-34,-4,-45,47,7123
1115,Tinkatink,-39,-56,-49,-70,-41,0,13639
1116,Tinkatuff,-24,-46,-39,-60,-23,20,8742
1117,Tinkaton,-4,-26,-17,-35,0,36,3502
1118,Wiglett,-79,-46,-69,-70,-80,37,25787
1119,Wugtrio,-54,-1,-44,-55,-35,62,12947
1120,Bombirdier,-19,2,-9,-45,-20,24,3447
1121,Finizen,-19,-56,-54,-60,-65,17,14527
1122,Palafin,11,-31,-22,-52,-43,42,7883
1123,Palafin,11,59,3,1,-18,42,5700
1124,Varoom,-44,-31,-31,-75,-60,-11,13204
1125,Revavroom,-9,18,-4,-51,-38,32,5490
1126,Cyclizar,-19,-6,-29,-20,-40,63,7207
1127,Orthworm,-19,-16,51,-45,-50,7,7792
1128,Glimmet,-41,-66,-52,0,-45,2,10770
1129,Glimmora,-6,-46,-4,25,-24,28,4153
1130,Greavard,-39,-40,-34,-75,-50,-24,12978
1131,Houndstone,-17,0,6,-55,-8,10,3514
1132,Flamigo,-7,14,-20,-30,-41,32,4250
1133,Cetoddle,19,-33,-49,-75,-65,-15,13926
1134,Cetitan,81,12,-29,-60,-50,15,13871
1135,Veluza,1,1,-21,-27,-40,12,2916
1136,Dondozo,61,-1,21,-40,-40,-23,7892
1137,Tatsugiri,-21,-51,-34,15,-10,24,5099
1138,Annihilape,21,14,-14,-55,-15,32,5107
1139,Clodsire,41,-26,-34,-60,-5,-38,8582
1140,Farigiraf,31,-11,-24,5,-35,2,2912
1141,Dudunsparce,36,-1,-14,-20,-30,-3,2802
1142,Kingambit,11,34,26,-45,-20,-8,4442
1143,Great Tusk,26,30,37,-52,-52,29,9194
1144,Scream Tail,26,-36,5,-40,10,53,6506
1145,Brute Bonnet,22,26,5,-26,-6,-3,1906
1146,Flutter Mane,-34,-46,-39,30,30,77,12522
1147,Slither Wing,-4,34,-15,-20,0,23,2326
1148,Sandy Shocks,-4,-20,3,16,-20,43,2930
1149,Iron Treads,1,11,26,-33,-35,48,5416
1150,Iron Bundle,-33,-21,20,19,-45,78,10400
1151,Iron Hands,65,39,14,-55,-37,-8,10400
1152,Iron Jugulis,5,-21,-8,17,-25,50,3944
1153,Iron Moth,-9,-31,-34,35,5,52,6152
1154,Iron Thorns,11,33,16,-35,-21,14,3328
1155,Frigibax,-24,-26,-49,-70,-60,-3,12162
1156,Arctibax,1,-6,-28,-60,-40,4,6037
1157,Baxcalibur,26,44,-2,-30,-19,29,4718
1158,Gimmighoul (Chest Form),-44,-71,-24,-30,-35,-48,11982
1159,Gimmighoul (Roaming Form),-44,-71,-69,-30,-60,22,16722
1160,Gholdengo,-2,-41,1,28,-14,26,3342
1161,Wo-Chien,-4,-16,6,-10,30,12,1452
1162,Chien-Pao,-9,19,-14,-15,-40,77,8392
1163,Ting-Lu,66,9,31,-50,-25,-13,8692
1164,Chi-Yu,-34,-21,-14,30,15,42,4682
1165,Roaring Moon,16,38,-23,-50,-4,61,8466
1166,Iron Valiant,-15,29,-4,15,-45,58,6696
1167,Koraidon,11,34,21,-20,-5,77,8072
1168,Miraidon,11,-16,6,30,10,77,7342
